"","Triangle_index","Size","Angle.C","Angle.B","Angle.A","Side.A_B","SideC_A","Side.B_C","Total_size","Hand","Vision","Type","Angle.Type","Full.Type","duration","Trial_number","subjID","DistError","AngleError","M1AE","M1DE","M2AE","M2DE","EEMAE","EEMDE"
"73",26,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"LH","on","iso-right","iso-right","45-90-45",28.6273,6,"AT05",0.842635163,-8.593683765,18.1280957433163,0.978395367792041,12.8967579567317,0.950595072250412,62.6784074996279,0.634072311355359
"74",27,10,60,60,60,10,10,10,30,"LH","on","equil","acute","60-60-60",37.2053,16,"AT05",0.810189865,-19.99751878,37.4999273263358,0.922018960167518,10.469482627418,0.885891593477888,41.483975794783,0.930123187924913
"75",1,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"RH","off","iso","obtuse","30-120-30",68.9485,28,"AT07",1.148074572,-44.66828355,150.641572488769,0.39345869086267,157.733060719499,0.458547206988752,12.3602492786231,0.624402917338162
"76",3,10,60,90,30,8.660254038,10,5,23.66025404,"RH","off","right","right","60-90-30",49.045,10,"AT07",0.725792741,171.4324011,152.542764969445,0.624658355323554,159.898131136536,0.683287013722896,12.9817213540679,0.11136570853304
"77",4,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"RH","off","scale","acute","60-75-45",55.6118,21,"AT07",0.677049254,153.2142212,125.824944041085,0.754351059238467,130.776872241429,0.896137518279231,161.794910649568,0.153220726277148
"78",5,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"RH","off","iso-right","iso-right","45-90-45",52.6301,3,"AT07",0.780500191,134.0205879,131.327468898536,0.541360422132108,148.845763170135,0.68872203925958,16.4351573961202,0.17900396971223
"79",6,10,60,60,60,10,10,10,30,"RH","off","equil","acute","60-60-60",58.9743,4,"AT07",0.830209459,140.683899,113.055577784527,0.688985804896358,120.056972540228,0.928941824237813,-169.17516282227,0.175009212003095
"80",7,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"LH","off","scale","obtuse","60-100-20",52.8195,16,"AT07",0.961369257,147.1568045,150.574937052287,0.663003080711026,156.049530809918,0.756686849991535,23.8077391287538,0.221908051244954
"81",8,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"LH","off","iso","obtuse","30-120-30",50.7869,5,"AT07",0.808165332,136.7012936,134.289945794946,0.40093524784583,141.123117181378,0.53257701258405,10.9572758788794,0.571050875733798
"82",10,10,60,90,30,8.660254038,10,5,23.66025404,"LH","off","right","right","60-90-30",50.8994,11,"AT07",0.834593372,167.0462917,151.81581897429,0.686038879238056,159.854967747084,0.840884075342288,-6.08416636011719,0.194552496683296
"83",11,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"LH","off","scale","acute","60-75-45",51.2557,13,"AT07",0.676533487,138.9632356,125.717437072606,0.659763264937926,133.439192094833,0.784478888102976,-177.091907961768,0.104414735221488
"84",12,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"LH","off","iso-right","iso-right","45-90-45",67.3743,1,"AT07",0.887530059,140.8123644,133.278215067098,0.510975421877887,143.680825034532,0.616959191979014,4.55764109779585,0.134018545833863
"85",13,10,60,60,60,10,10,10,30,"LH","off","equil","acute","60-60-60",98.5255,24,"AT07",1.000704123,92.68720763,107.582903875248,0.840313771596426,118.176836847994,0.832033555772435,149.068713652136,0.290422175468623
"86",15,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"RH","on","iso","obtuse","30-120-30",48.6424,17,"AT07",0.786422306,107.2677627,132.434220704225,0.445348375753579,140.786021932742,0.714059738712805,2.67363833115425,0.602156831279391
"87",17,10,60,90,30,8.660254038,10,5,23.66025404,"RH","on","right","right","60-90-30",47.6936,15,"AT07",0.601202656,151.1750397,140.990468311143,0.776890321152146,148.77449065859,0.851516011751861,9.76835184065791,0.179269750666121
"88",18,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"RH","on","scale","acute","60-75-45",53.8026,25,"AT07",0.752813074,146.2254355,114.052321201693,0.678031539244396,123.175156933824,0.81562245169386,-105.07859030941,0.1117710487675
"89",19,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"RH","on","iso-right","iso-right","45-90-45",61.4094,6,"AT07",0.566771418,145.7819932,120.729327449862,0.584880312767568,135.234900752544,0.826080762057107,-7.29200701122622,0.142345012355007
"90",20,10,60,60,60,10,10,10,30,"RH","on","equil","acute","60-60-60",53.0093,23,"AT07",0.879680139,142.1691171,111.570120731683,0.75308021708307,120.610297494796,0.776479279750546,122.440472722718,0.256900227404757
"91",21,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"LH","on","scale","obtuse","60-100-20",32.491,20,"AT07",0.497602104,140.1827937,156.794271920661,0.67279074590657,168.130072227835,0.870004437422695,19.7883075668456,0.367697651113873
"92",22,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"LH","on","iso","obtuse","30-120-30",38.4343,14,"AT07",0.633547481,80.6913708,136.089090241004,0.405543989732315,147.101935175758,0.53286738161614,9.56729166010234,0.53017780622632
"93",23,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"LH","on","scale","obtuse","45-105-30",32.6478,12,"AT07",0.756577232,132.7649532,156.040814652241,0.558875651824845,156.309404156026,0.706068026238915,-0.194915718756306,0.386080388728052
"94",24,10,60,90,30,8.660254038,10,5,23.66025404,"LH","on","right","right","60-90-30",31.8098,8,"AT07",0.470472442,148.3312943,160.835974738861,0.643913889286515,163.462825604216,0.725813502601814,28.6442377937317,0.0954282125872532
"95",26,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"LH","on","iso-right","iso-right","45-90-45",48.9666,19,"AT07",0.764363002,130.8410076,136.386758779283,0.566415725076406,143.227074063151,0.689840395372561,-14.2108252431702,0.161708667097175
"96",27,10,60,60,60,10,10,10,30,"LH","on","equil","acute","60-60-60",53.8593,22,"AT07",1.013692456,147.2136495,115.70966514181,0.744303717471324,124.59758012588,0.855368249993097,156.333838973528,0.249056786379039
"97",0,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"RH","off","scale","obtuse","60-100-20",39.2601,20,"AT09",0.896346745,50.98444348,26.1496006754562,0.584739147072058,-8.23771693449893,0.970716909284636,77.5356722525594,0.563182307493933
